know behind ukraine free rich advanced west cant win stupid keep fighting get killed ukraine ukrainerussiawar warinukraine russiaukrainewar russiaisaterroriststate russians russia ukrainewar bachmut, {'neg': 0.267, 'neu': 0.424, 'pos': 0.309, 'compound': 0.1541}, {'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25};
war ukraines donbas origins contexts future ukrainewar ukrainerussianwar zelensky nato nuclearwar russia ukrainerussiawar via, {'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
almost weekend 😊😆where shrooms lovers cannabiscommunity bitcoin cryptocurrency weedlovers weedsmokers cannabisverfolgungstop cannabislegalisierung russia weedlife 420friendly 420community ohioweed stoner stonerfam stonerchicks, {'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.5267}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
would anyone believe told us ukr killing russians 1000 1 later find rus killing ukr 7 1 would believe anyone could soooo wrong ukraine russia ukrainerussiawar, {'neg': 0.373, 'neu': 0.627, 'pos': 0.0, 'compound': -0.9169}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.33, 'Fear': 0.0};
russias energy minister denied reports russia considering ban gasoline exports though limiting exports possibility oott russia crude oil gasoline, {'neg': 0.374, 'neu': 0.549, 'pos': 0.077, 'compound': -0.8442}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.67, 'Fear': 0.0};
south african general secretary destroys bbc reporter wests hypocrisy killing millions innocents iraq icc warrants blair bush ? nato bbcbias hypocrisy russia, {'neg': 0.285, 'neu': 0.641, 'pos': 0.075, 'compound': -0.7845}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33};
russia threatens military nuclear strike attack russian soil, {'neg': 0.59, 'neu': 0.41, 'pos': 0.0, 'compound': -0.7351}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5};
🔥 realtime ai news scanner 🔥 🔗 russia sentiment sentimentanalysis, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
syrian sun us soldiers interacting russian military police syria even pose photo ! arma3 russia usarmy syrian, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
irans calls unity usa billions war ignores drinking water crisis live 8pm et iran iranian unity muslims middleeast usa war ukraine russia us water crisis mississippi drinkingwater news commentary discussion via, {'neg': 0.41, 'neu': 0.59, 'pos': 0.0, 'compound': -0.959}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.43, 'Fear': 0.57};
trumps critics list people cant visit russia 🤔 hmmm wonder 🧐 good vladdy 😆😂 russia trumpisalaughingstock votebluetostopthestupid voteblue2024, {'neg': 0.115, 'neu': 0.733, 'pos': 0.152, 'compound': 0.1779}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
russian news unit ukrainian nationalist formation invaded territory russia ukraine belgorod russia, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
socialist political strategy collapse america iamwithkhan masterchef tuesdayvibe tuesdaymotivaton politics government trump biden college fascism communism cannes2023 debtceiling russia ukraine memes twitter theflashmovie, {'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.4939}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.57};
ukraine war russia digging 'miles trenches russia ukraine america bakhmut trump, {'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5994}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
putins days numbered russia ukraine slavaukraini, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5};
difference nato + ukraine putin one literally mentally live real world russia addresses nations legitimate concerns zelensky straight refuses face reality chooses ukrainewar hell never win, {'neg': 0.243, 'neu': 0.697, 'pos': 0.06, 'compound': -0.7765}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
time website asks whitelist adblock leave medvedev ukraine russia randomthoughts youtube, {'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.0516}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
places world supposedly united states canada europe ukraine think okay extremist groups financed constantly repeat total freedom killing presidents russia nicaragua venezuela syria iran, {'neg': 0.132, 'neu': 0.601, 'pos': 0.267, 'compound': 0.5423}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25};
russian volunteer corps denies military equipment damaged combatants killed belgorod oblast incursion 🔗 bakhmut kyiv russia ukraine bbcbreaking wimbledon, {'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.8807}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
general staff russian forces unsuccessfully attempt advance village near bakhmut ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
enjoy many breaking news uk germany china france russia, {'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4939}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0};
cherevatyy says 40000 russian troops fighting near bakhmut news portal ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
slovenia recognises holodomor genocide ukrainian people news portal ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
free people 🇺🇦 russia true even clear russia terrorist state death destruction knows need question corporations continue business russia, {'neg': 0.362, 'neu': 0.382, 'pos': 0.256, 'compound': -0.6808}, {'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.29, 'Fear': 0.57};
wagner pow recruited russian prison used cannon fodder life frontline russia ukraine america bakhmut trump2024, {'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.5106}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
: warned us kremlin propped evil statewithinastate russia never responsible member community nations security services destroyed even putin dies tomorrow kgb state endures, {'neg': 0.375, 'neu': 0.547, 'pos': 0.077, 'compound': -0.8505}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.17, 'Fear': 0.83};
belgorod oblast russian volunteer corps claims equipment intact accuses russian defence ministry lying ukrainska pravda ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.242, 'neu': 0.625, 'pos': 0.133, 'compound': -0.5574}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
russias putin meets bosnian serb leader dodik hails rise trade, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
raids 🇷🇺 gov buildings get captured theres dozens antiputin groups russia siberia yakut tuva tatarstan volga southern russia outside kazakhstan belarus estonia finland georgia caucasus kaliningrad sooo much land 😱, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.0, 'Fear': 0.4};
wondering people like thefreedomofrussialegion others want new russia going get involved theyve probably already involved hearing ukraine, {'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.4215}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.75};
head ukraines intelligence counteroffensive enough weapons soon start ukrainska pravda ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.161, 'neu': 0.667, 'pos': 0.172, 'compound': 0.0516}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
another putin critic russias deputy minister science higher education pyotr kucherenko died falling ill plane latest string mysterious deaths among russian elites done putin assassinates opposition, {'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.8442}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5};
russian soldiers defy imprisonment threat unwilling deploy forward positions intel ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.207, 'neu': 0.793, 'pos': 0.0, 'compound': -0.5267}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
eu countries deliver 220000 rounds 1300 missiles ukraine borrell ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
russian forces attack dnipropetrovsk region ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
good news week bidencrimefamily merrickgarfinkel fbi january6 christopherwray durhamreport hillaryclinton donaldtrump russia cia dhs ninajankowicz tuckercarlson deborahlipstadt holocaust jews elonmusk georgesoros antisemitism, {'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
zelensky key task ukraine strengthen enhance defense capabilities ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.4215}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
💥this great show youre invited ! 💥 listen latest news russias unprovoked war ukraine russias war russia belgorodholds ! ! rsvp needed click 🔗⬇️ youre, {'neg': 0.282, 'neu': 0.585, 'pos': 0.133, 'compound': -0.6784}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.67};
russia second best army russia 🫠belgorodpeoplesrepublic, {'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
eliminated fighters special units main directorate intelligence 🇺🇦ukraine participated raid belgorod region 🇷🇺russia, {'neg': 0.071, 'neu': 0.588, 'pos': 0.341, 'compound': 0.6808}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.33};
russias wagnergroup committed humanrights atrocities mass scale centralafricanrepubic well ukraine yet joebiden blocking us recognition international criminal court institution authority act, {'neg': 0.218, 'neu': 0.582, 'pos': 0.2, 'compound': -0.3612}, {'Happy': 0.0, 'Angry': 0.14, 'Surprise': 0.14, 'Sad': 0.14, 'Fear': 0.57};
alarming scenario natos coming big air exercise prelude nato running air sorties ukraine neoconslibs us europe seeing war lost vs russia behave every bit desperately irrationally nazis 1945, {'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.8979}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.2};
russia extends wall st journal reporter evan gershkovichs detention three months breakingnews dailymail gershkovichs latestnews news tazamind todaynews, {'neg': 0.125, 'neu': 0.8, 'pos': 0.075, 'compound': -0.25}, {'Happy': 0.0, 'Angry': 1.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0};
ukraine war stalemate lull storm russia ukraine america bakhmut trump2024, {'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.5994}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
florida facing financial disaster due new legislation restricting foreign investment miamicondos condoboom condocrash housing eb5 china foreigninvestors russia venezuela cuba, {'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.7717}, {'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.33};
ukraine war russian claims crimea drone strike analysed russia ukraine america bakhmut trump2024, {'neg': 0.329, 'neu': 0.671, 'pos': 0.0, 'compound': -0.6597}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.33};
russias smo objectives ukraine, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
yep russia cancer earth russiaisaterroriststate, {'neg': 0.458, 'neu': 0.312, 'pos': 0.229, 'compound': -0.4939}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
russia says crossborder attack ukraine crushed one civilian killed russia belgorod ukraine russianvolunteercorps freedomofrussialegion, {'neg': 0.486, 'neu': 0.514, 'pos': 0.0, 'compound': -0.886}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
trump pulled troops afghanistan syria help russia ukraine trump directed pentagon pull troops germany colossal mistake tied strategy gift putin, {'neg': 0.096, 'neu': 0.68, 'pos': 0.224, 'compound': 0.4939}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5};
breaking qatar saudi arabia gave us dire warning via gasshortage newsystem saudiarabia policy oil gas priceslump selfsanction eu germany russia reversebubble humanity economy winter qatar lng capacity energy nwo, {'neg': 0.161, 'neu': 0.776, 'pos': 0.063, 'compound': -0.5106}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.0, 'Fear': 0.8};
ukraine counter offensive rundown russia ukraine america bakhmut trump2024, {'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.4588}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
another militant group attacked belgorod region 🇷🇺russia identified alexander skachkov native st petersburg left 🇺🇦ukraine 2014 14, {'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4588}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0};
scott ritter person russia negotiate forget everyone else russia, {'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}, {'Happy': 0.0, 'Angry': 1.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0};
ukrainian troops win back russian trenches assault footage bakhmuts 'road life russia ukraine america bakhmut trump, {'neg': 0.176, 'neu': 0.648, 'pos': 0.176, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5};
oott wti cuts much smaller april surprise opec member states heavily rely oil revenues balance budgets russia needs money survive ukraine invasion, {'neg': 0.091, 'neu': 0.823, 'pos': 0.086, 'compound': -0.0258}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.5, 'Fear': 0.25};
real uprising government propoghanda sure yet ultimately russia needs todo remove slavery oppressive putin regime, {'neg': 0.344, 'neu': 0.55, 'pos': 0.106, 'compound': -0.7351}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
putin wants limit currency purchases russians dealing foreigners crypto russia btc market news, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67};
russia isnt ukraine thinking, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
modi says india everything stop russias war abstains imposing sanctions russia news, {'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.7579}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
shoot police officers without warning kremlins directions hope actual police took rest week russia russianvolunteercorps belgorodpeoplesrepublic antiputin, {'neg': 0.112, 'neu': 0.656, 'pos': 0.231, 'compound': 0.3687}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
keen twitter reporters russia ukraine situation months kept using hashtag bakhmut stay date ? ? ?, {'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.466}, {'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25};
us department state doubts us weapons used southwest russia cleveland_heights_ohio greater_cleveland moscow ohio russia us weapons world, {'neg': 0.364, 'neu': 0.636, 'pos': 0.0, 'compound': -0.7906}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.67};
interviewed ukraines national security advisor belgorod raids bakhmut ukraines looming offensive ukraine russia, {'neg': 0.266, 'neu': 0.592, 'pos': 0.142, 'compound': -0.2732}, {'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.4};
kids days would say sus russia citizens killed criticism putinkremlin meanwhile wagnergroup says ammo new group attacking belgorod ukraine putin used gravity & gt bullets, {'neg': 0.32, 'neu': 0.615, 'pos': 0.065, 'compound': -0.8519}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0};
inside story russiairanindia connectivity unz g7 brics china silkroad bri instc afghanistan chabahar pakistan gwadar straitofhormuz ukraine sanctions nato turkiye eu britain eaeu, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
russia ukraine iraq syria libya russiagate americans prepared thoroughly please watch remind us one previous episodes 👇🏻👇🏻👇🏻, {'neg': 0.0, 'neu': 0.77, 'pos': 0.23, 'compound': 0.5413}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0};
ukrainian air defense uses patriot systems ways surprised us expert interview / new voice ukraine ukraine ukrainerussiawar russia ukrainewarnews, {'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.34}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.6};
damn bunch homos didnt defeat smaller countries youve waging war expect win anything russia russiachina stop living dreamland winnings happens hollywood movies 🍿🥤, {'neg': 0.247, 'neu': 0.478, 'pos': 0.275, 'compound': 0.2453}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0};
🇺🇦ukraine christian udarov active participant 2014 coup kiev professional provocateur identified among ukrainian militants attacked belgorod region 🇷🇺russia, {'neg': 0.138, 'neu': 0.737, 'pos': 0.124, 'compound': -0.0772}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0};
germany 'make peace without guns hundreds march nuremberg arms deliveries ukraine germany russia war ukraine, {'neg': 0.191, 'neu': 0.637, 'pos': 0.172, 'compound': -0.1027}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
breaking ⛽ russian government considering ban gasoline exports prevent fuel shortages domestic market well price increases sanctions dont work russia ukraine russiaislosing russiaisburning eu, {'neg': 0.19, 'neu': 0.693, 'pos': 0.117, 'compound': -0.4588}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.4};
cnn outfront new developments antiputin fighter talks cnn attacks inside russia cnn outfront antiputin russia ukraine ukrainerussiawar russiaukrainewar russianukrainianwar ukrainianrussianwar, {'neg': 0.129, 'neu': 0.8, 'pos': 0.071, 'compound': -0.3182}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
intelligence chief ukraine enough weapons counteroffensive begin 'soon ' 🔗 kyiv russia bbcbreaking wimbledon, {'neg': 0.181, 'neu': 0.625, 'pos': 0.194, 'compound': 0.0516}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
russia gives us stern warning washington approves ukrainian attacks crimea, {'neg': 0.353, 'neu': 0.467, 'pos': 0.18, 'compound': -0.3818}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5};
truth behind ukranian supported nazism watch thread venäjä ukrainewar ukraine ukraina russia, {'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.5574}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
ukraine 2019 talked lot people unanimous wanting regions russia wants, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
well hat certainly suspicious russia, {'neg': 0.278, 'neu': 0.222, 'pos': 0.5, 'compound': 0.25}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
patriotism intimate feeling quotes russia, {'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.128}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0};
hungarys orban says ukraine war end deal russia us budapests calls ceasefire ukraine angered us dave decamp hungary ukraine russia nato orban, {'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.802}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
russia 🇷🇺 moscows lefortovo court tuesday upheld decision extend detention wall street journal wsj journalist evan gershkovich three months, {'neg': 0.118, 'neu': 0.802, 'pos': 0.08, 'compound': -0.2023}, {'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.5};
🟡today 🟡 6pm unfiltered tuesday gvwire news politics california centralvalley fresnocounty fresno inflation housing retail homebuying homebuyers housing affordablehousing housingcrisis realestate economy ukraine zelenskyy russia biden bakhmut, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
🎯the usempire🇺🇸 neocons fantasize plundering russias🇷🇺 resources americas capacity exercise global primacy depends whether us🇺🇸 prevent emergence dominant antagonistic eurasian power zbigniew brzezinski, {'neg': 0.109, 'neu': 0.847, 'pos': 0.044, 'compound': -0.3818}, {'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.25};
war end ukraine occupying whole strip russia buffer zone, {'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0};
col macgregor ukraine falling apart putin marches west lostsongsoftherevolution poetry johnhulse douglasmacgregor russia ukraine putin zelensky militaryindustrialcomplex warprofiteering, {'neg': 0.086, 'neu': 0.914, 'pos': 0.0, 'compound': -0.1531}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
wild 41 americans including 59 democrats still believe lie hunter biden laptop russian disinformation youtube clayandbuck claytravis bucksexton trump russia hunterbiden, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
🇺🇦ukraine usa news 🪖 05232023 day 454 bakhmut allrussian proukrainian russian volunteer corps rdk freedom russian legion lsr conducted raid russias belgorod ukraine denied direct involvement ukrainian army troops, {'neg': 0.088, 'neu': 0.785, 'pos': 0.127, 'compound': 0.3182}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33};
live hour talk desantis2024 russia nuns drag join us 8est, {'neg': 0.157, 'neu': 0.661, 'pos': 0.182, 'compound': 0.0772}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
prigozhin switch sides talking like preparation upcoming military coup money latter think blamed happy grandpa forced kremlin shortly russia prigozhin russiaukrainewar ukraine ukrainianarmy, {'neg': 0.195, 'neu': 0.607, 'pos': 0.198, 'compound': 0.0258}, {'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.33};
president putin smo russia trying stop war waged us people part found beyond borders historical russian state due historical injustice cease people everything protect, {'neg': 0.302, 'neu': 0.617, 'pos': 0.08, 'compound': -0.802}, {'Happy': 0.33, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.0};
nato destroy putin imperialistic ambitions expand russia using military force 200000 dead injured russianarmy wasted lives pointless deathsfor putin ego never nazis lie, {'neg': 0.403, 'neu': 0.529, 'pos': 0.068, 'compound': -0.9081}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
prigozhin 500 tanks beginning special operation 5000 20000 soldiers knew fight 400000 demilitarize contrary militarized ukraine russia putin, {'neg': 0.122, 'neu': 0.751, 'pos': 0.127, 'compound': 0.0258}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0};
russia captures bakhmut russiaukrainewar russia ukraine ukrainerussiawar bakhmuthasfallen bakhmut ukrainewar ukrainewarnews see videos read, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0};
avoid war russia decides wage war 🤣 make sense prior war putin chose ignore diplomatic efforts delegations european world leaders please tell abandoned diplomatic track russia crazy minds, {'neg': 0.506, 'neu': 0.441, 'pos': 0.053, 'compound': -0.9612}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.67};
